EventNum_RunNum     Date     Time_UT     NoticeType     RA     Dec     Error     False_Pos     Pvalue     Charge     SignalTr     N_Events     Stream     Comments
32674593_129474     17/05/06     12:36:55.80     HESE     221.6750     -26.0359     73.79     0.0000e+00     0.0000e+00     8685.07     0.35     1     1     AMON_ICECUBE_HESE.
65274589_129281     17/03/12     13:49:39.83     HESE     304.7300     -26.2380     73.79     0.0000e+00     0.0000e+00     8858.64     0.78     1     1     AMON_ICECUBE_HESE.
38561326_128672_a     16/11/03     09:07:31.12     HESE     40.8252     +12.5592     66.00     0.0000e+00     0.0000e+00     7546.05     0.30     1     1     AMON_ICECUBE_HESE.
38561326_128672_b     16/11/03     09:07:31.12     HESE     40.8740     +12.6159     73.79     0.0000e+00     0.0000e+00     7546.05     0.30     1     1     AMON_ICECUBE_HESE.
58537957_128340     16/08/14     21:45:54.00     HESE     199.3100     -32.0165     89.39     n/a     n/a     10431.02     0.12     1     1     AMON_ICECUBE_HESE.
6888376_128290_a     16/07/31     01:55:04.00     HESE     215.1090     -0.4581     73.79     n/a     n/a     15814.74     0.91     1     1     AMON_ICECUBE_HESE.
6888376_128290_b     16/07/31     01:55:04.00     HESE     214.5440     -0.3347     45.00     n/a     n/a     15814.74     0.91     1     1     AMON_ICECUBE_HESE.
67093193_127853_a     16/04/27     05:52:32.00     HESE     240.5683     +9.3417     35.99     n/a     n/a     18883.62     0.92     1     1     AMON_ICECUBE_HESE.
67093193_127853_b     16/04/27     05:52:32.00     HESE     239.6639     +6.8528     534.00     n/a     n/a     18883.62     0.92     1     1     AMON_ICECUBE_HESE.
67093193_127853_c     16/04/27     05:52:32.00     HESE     239.6639     +6.8528     534.00     n/a     n/a     18883.62     -1.00     1     1     AMON_ICECUBE_HESE.
67093193_127853_d     16/04/27     05:52:32.00     HESE     239.6639     +6.8528     534.00     n/a     n/a     18883.62     -1.00     1     1     AMON_ICECUBE_HESE. 
