index,alt,az,dec,local_time,n_id,obj,ra,secz,z
43,85.8772622049,344.974328838,-26.238,2016-08-14 23:32:01.142,2.0,65274589_129281,304.73,1.00259438273,4.12273779509
0,70.9359575937,277.120046643,-26.0359,2016-08-14 19:20:18.346,1.0,32674593_129474,221.675,1.05802854811,19.0640424063
101,52.940232581,255.50553517,-32.0165,2016-08-14 19:20:18.346,5.0,58537957_128340,199.31,1.25312136966,37.059767419
145,52.8916889717,354.717822283,6.8528,2016-08-14 19:20:18.346,9.0,67093193_127853_b,239.6639,1.25392412072,37.1083110283
162,52.8916889717,354.717822283,6.8528,2016-08-14 19:20:18.346,10.0,67093193_127853_c,239.6639,1.25392412072,37.1083110283
179,52.8916889717,354.717822283,6.8528,2016-08-14 19:20:18.346,11.0,67093193_127853_d,239.6639,1.25392412072,37.1083110283
129,50.4669046512,356.423711355,9.3417,2016-08-14 19:20:18.346,8.0,67093193_127853_a,240.5683,1.29658459673,39.5330953488
111,50.3270370484,313.164036185,-0.4581,2016-08-14 19:20:18.346,6.0,6888376_128290_a,215.109,1.29920597332,39.6729629516
120,49.8739371448,312.60366365,-0.3347,2016-08-14 19:20:18.346,7.0,6888376_128290_b,214.544,1.30782495542,40.1260628552
80,47.191079759,358.513479147,12.5592,2016-08-15 05:54:37.391,3.0,38561326_128672_a,40.8252,1.36309594249,42.808920241
98,47.13552228,358.58546539,12.6159,2016-08-15 05:54:37.391,4.0,38561326_128672_b,40.874,1.36432201271,42.86447772
