index,alt,az,dec,local_time,n_id,obj,ra,secz,z
49,85.9831490515,352.9138954,-26.238,2016-08-01 00:24:31.022,2.0,6888376_128290_a,304.73,1.00246255787,4.01685094846
0,83.4326177762,306.823201686,-26.0359,2016-07-31 19:14:18.096,1.0,6888376_128290_a,221.675,1.00660530686,6.5673822238
98,65.8288758982,258.106394416,-32.0165,2016-07-31 19:14:18.096,5.0,6888376_128290_a,199.31,1.09609870799,24.1711241018
114,58.0848601361,335.937106895,-0.4581,2016-07-31 19:14:18.096,6.0,6888376_128290_a,215.109,1.17808938951,31.9151398639
130,57.7673943604,335.026673791,-0.3347,2016-07-31 19:14:18.096,7.0,6888376_128290_a,214.544,1.18218711362,32.2326056396
172,53.0173028369,359.26612732,6.8528,2016-07-31 20:04:20.181,9.0,6888376_128290_a,239.6639,1.25185083543,36.9826971631
195,53.0173028369,359.26612732,6.8528,2016-07-31 20:04:20.181,10.0,6888376_128290_a,239.6639,1.25185083543,36.9826971631
218,53.0173028369,359.26612732,6.8528,2016-07-31 20:04:20.181,11.0,6888376_128290_a,239.6639,1.25185083543,36.9826971631
150,50.5269494307,0.708185612688,9.3417,2016-07-31 20:04:20.181,8.0,6888376_128290_a,240.5683,1.29546485497,39.4730505693
84,46.910658321,7.44631252187,12.5592,2016-08-01 06:24:46.032,3.0,6888376_128290_a,40.8252,1.36932022176,43.089341679
97,46.8488968663,7.50605694767,12.6159,2016-08-01 06:24:46.032,4.0,6888376_128290_a,40.874,1.37070315684,43.1511031337
